Model,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,Val_ROC-AUC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC-AUC
Random Forest,0.9041278295605859,0.0,0.0,0.0,0.7135119982058757,0.9106666666666666,0.375,0.046153846153846156,0.0821917808219178,0.7321167883211679
Logistic Regression,0.914780292942743,1.0,0.015384615384615385,0.030303030303030304,0.7101143754204979,0.9106666666666666,0.0,0.0,0.0,0.7832229084783829
XGBoost,0.9041278295605859,0.0,0.0,0.0,0.70876878223817,0.9173333333333333,0.8,0.06153846153846154,0.11428571428571428,0.7327344188658058
